Company name,Company Twitter,Nb. of Employees,What do they do (Verbatim - 10 words max.)   ,Link to website,HQ City,HQ Country,CEO name,CEO's Twitter,Link to jobpage,employees_amount_id
Lullabot,lullabot,51-200,"Top strategy, design, and development agency specializing in high-performance projects",https://www.lullabot.com/,"Providence, RI",USA,Jeff Robbins,jjeff,https://www.lullabot.com/jobs,3.0
Lumiserv,lumiserv,1-10,Mission critical DevOps & cloud management,https://lumiserv.com,Bournemouth,UK,Rad Dougall,raddougall,https://lumiserv.com/careers-jobs/,1.0
Lynx Technology Partners,lynxpartners,11-50,Regulatory compliance tools,https://lynxgrc.com/,"New York, NY",USA,Rich Hlavka,richhlavka,https://lynxgrc.com/careers/,2.0
Machinio,machinio,11-50,used machinery marketplace,https://www.machinio.com/careers/,"Chicago, IL",USA,Dmitriy Rokhfeld,,https://www.machinio.com,2.0
MailerLite,mailerlite,51-200,Advanced email marketing made simple.,https://www.mailerlite.com,Vilnius,Lithuania,Ignas Rubezius,ignasmailer,,3.0
mailparser.io,mailparser,1-10,Liberate Data Trapped Inside E-mails,https://mailparser.io/,Paris,France,Moritz Dausinger,mdausinger,,1.0
Mailprotector,mailprotector,11-50,Providing vital email services,https://www.mailprotector.com/,"Greenville, SC",USA,David Setzer,,,2.0
MailTag.io,mailtagio,1-10,"Helping sales professionals make more sales, in less time.",https://www.mailtag.io/,"Phoenix, AZ",USA,Alex Edson,,,1.0
Maître,,1-10,Word of mouth that drive sales.,https://maitreapp.co/,London,UK,,,,1.0
Make Works,makeworksto,11-50,Canada’s leading shared R&D lab and co-working space,https://www.makeworks.com/,Toronto,Canada,Mike Stern,,,2.0
Manage Social,manageflitter,1-10, easy to use tools to empower you to work smarter and faster with Twitter,https://manageflitter.com/careers,Sydney,Australia,Kevin Garber,ke_ga,https://manageflitter.com/careers,1.0
Mapbox,mapbox,51-200,Map integration tools for various platforms.,https://www.mapbox.com/,Washington,USA,Eric Gundersen,ericg,https://www.mapbox.com/jobs/,3.0
Mapillary,mapillary,11-50,Street-level imagery platform that uses computer vision to fix the world’s maps,https://www.mapillary.com/,Malmo,Sweden,Johan Gyllenspetz,gyllen,,2.0
MariaDB,mariadb,1-10,MariaDB and MySQL development and support,https://mariadb.com,"Menlo Park, CA ",USA,Michael Howard,,https://mariadb.com/,1.0
Marketade,marketade,1-10,Lean UX consulting,https://www.marketade.com/,"Washington, DC",USA,John Nicholson,,,1.0
MarketGoo,mktgoo,11-50,Easy SEO Tools for SMBs,https://www.marketgoo.com ,Madrid,Spain,Wences Garcia,wencesg,,2.0
MarkIT.eu,markit_eu,51-200,MarkIT is an online IT purchasing system for companies. ,https://markit.eu/,Tallinn,Estonia,Andres Agasild,,https://Linkedin,3.0
MarsBased,marsbased,11-50,Design & development consultancy,https://marsbased.com/jobs/,Barcelona,Spain,Àlex Rodríguez Bacardit,lexrodba,https://marsbased.com/jobs/,2.0
Marvel Prototyping,marvelapp,1-10,Enable everyone to bring their ideas to life with Marvel,https://marvelapp.com/,London,UK,,,,1.0
Mattermost,mattermosthq,11-50,"Open source, private cloud Slack-alternative",https://jobs.lever.co/mattermost/,"Palo Alto, CA",USA,Ian Tien,iantien,https://jobs.lever.co/mattermost/,2.0
Mavens,mavens,51-200,Cloud software solutions that are connecting,https://mavens.com/,"Chicago, IL",USA,Prasad Kanumury,pkanumury,https://mavens.com/careers/,3.0
Mcbeard Media,mcbeard,51-200, team of copywriters and designers creating the social media content that great brands share,https://mcbeard.tumblr.com/,"Los Angeles, CA",USA,Alan Beard,,https://Linkedin,3.0
MCF Technology Solutions,mcftechnology,51-200,"MCF Technology Solutions (MCFTech) delivers Services, Strategy..",https://www.mcftech.com/,"Lorain, OH",USA,Govind Davis,,https://www.mcftech.com/careers/,3.0
Mealthy,mealthyrecipes,11-50,Healthy Cooking Made Easy,https://mealthy.com/,"Austin, TX",USA,,,,2.0
Mediacurrent,mediacurrent,11-50,Full service Drupal agency,https://www.mediacurrent.com/,"Atlanta, GA",USA,Jeff Diecks,jeffdiecks,https://www.mediacurrent.com/about/careers,2.0
Meet Edgar,meetedgar,1-10,Automates social media marketing by building a library of your best content,https://meetedgar.com/,,USA,Laura Roeder,lkr,https://meetedgar.com/careers/,1.0
Mega,mega_int,51-200,Help clients engage customers & ultimately grow revenue.,https://www.mega.com,Paris,France,Lucio De Risi,,,3.0
Member Up,member_up,1-10,Services and products for membership sites,https://memberup.co/,,USA,Michael Steele,el_steele,,1.0
MercuryWorksCraft,mercury_works,1-10,"create apps, solve wicked problems and forge passionate client relationships",https://mercuryworks.com,"Tampa, FL",USA,,,,1.0
Mesosphere,mesosphere,201-500,Mesosphere is democratizing the modern infrastructure.,https://mesosphere.com/,"San Francisco, CA",USA,Florian Leibert,flo,,4.0
MetaCommunications,metacomm,501-1000,Project management software for the world’s best creative teams.,https://www.workgroups.com/,"Iowa City, IA",USA,Gregg Hammann,,,5.0
MetaLab,metalab,11-50,We make interfaces.,https://metalab.co/,?,USA,Andrew Wilkinson,awilkinson,https://metalab.co/careers/,2.0
Metaluxo IT Security,metaluxo,1-10,IT Security services,https://en.metaluxo.com/,London,UK,,,https://angel.co/metaluxo-it-security/jobs,1.0
Metamaterial Technologies,metamaterialtec,11-50,MTI's technology solves the world's most challenging problems in optics,https://www.metamaterial.com/,"Halifax, Nova Scotia",Canada,George Palikaras,palikaras,https://www.metamaterial.com/join-our-team,2.0
Meteor,meteorjs,501-1000,Meteor is a complete platform for building web and mobile apps in pure JavaScript.,https://www.meteor.com,"San Francisco, CA",USA,Geoff Schmidt,immir,https://www.meteor.com/jobs,5.0
Midokura,midokura,51-200,Enterprise Network Virtualization that works,https://www.midokura.com/,Tokyo,Japan,Dan Mihai Dumitriu,dumitriu,https://www.midokura.com/about-midokura/careers/,3.0
Mightycast,mightycast,11-50,Creative minds from doodlers to tinkerers focused on the future of wearable devices,https://www.thenexband.com/,"Montreal, QC",Canada,Adam Adelman,,,2.0
MiMedx,mimedx,51-200,Regenerative biologics utilizing human placental tissue allografts,https://mimedx.com/,"Marietta, GA",USA,David Coles,,,3.0
MindSciences,,1-10,Addressing unwanted behaviors and bad habits through evidence-based mindfulness.,https://claritasmind.com,"Boston, MA",USA,Judson Brewer,,,1.0
Minter.io,minter_io,1-10,Instagram Analytics,https://minter.io/,London,UK,Mike Minter,mike_mntr,,1.0
Mixcloud,mixcloud,11-50,Mixcloud is an online radio channel providing radio content and DJ music.,https://www.mixcloud.com/,London,UK,Mat Clayton,matclayton,https://www.mixcloud.com/jobs/,2.0
Mixmax,mixmaxhq,11-50,Upgrading email to the 21st century,https://mixmax.com/,"San Francisco, CA",USA,Olof Mathé,olofster,https://mixmax.com/careers/,2.0
Mobile Jazz,mobilejazzcom,11-50,The #1 Boutique App & Web Development Company,https://mobilejazz.com/jobs,Barcelona,Spain,Stefan Klumpp,stefanklumpp,https://mobilejazz.com/,2.0
"Mobility Labs, Inc.",mobilitylabs,11-50,We build digital tools for social good.,https://www.mobility-labs.com/,"Washington, DC",USA,Sean Perkins,seanperkins1,https://www.mobility-labs.com/careers#available-positions,2.0
Mobiquity,mobiquityinc,201-500,Customized mobile solutions at the enterprise level,https://www.mobiquityinc.com,Amsterdam,The Netherlands,,,,4.0
Mobomo,mobomoapps,11-50,Software product development,https://www.mobomo.com/,"Washington, DC",USA,Barg Upender,bargupender,https://www.mobomo.com/careers/,2.0
Modern Tribe,moderntribeinc,51-200,To give consumers the power to make informed purchasing decisions.,https://tri.be,"San Francisco, CA",USA,,,,3.0
Modus-create,moduscreate,11-50,digital design-build agency driven by world-class talent.,https://moduscreate.com/who-we-are/,"Reston, VA",USA,Patrick Sheridan,sheridap,https://moduscreate.com/who-we-are/,2.0
Mokriya,mokriya,11-50,"Crafting Smart, beautiful software for mobile, IoT, and beyond.",https://mokriya.com,"Cupertino, CA",USA,Sunil Kanderi,sunil01,https://indeed / angel list,2.0
Moltin,moltin,11-50,commerce brought to life,https://moltin.recruiterbox.com/,"Boston, MA",USA,Jamie Holdroyd,jholdroyd,https://moltin.recruiterbox.com/,2.0
Moment,moment,11-50,Maker of the world's best products for mobile photography.,https://www.shopmoment.com/careers,"Seattle, WA",USA,Marc Barros,marcbarros,https://www.shopmoment.com/careers,2.0
Moo.do,moodoapp,1-10,"Organize everything in your life: projects, to-do lists, appointments..",https://www.moo.do/,"Seattle, WA",USA,Jay Meistrich,jmeistrich,,1.0
Moodle,moodle,11-50,Open source Learning Platform,https://moodle.com/,"Perth, WA",Australia,Martin Dougiamas,moodler,,2.0
Moondo,moondo_cl,1-10,online shopping from spain,https://moondo.cl/,Santiago/London,UK,Andres Tocornal,,,1.0
Moraware,moraware,1-10,Software for countertop fabricators,https://www.moraware.com/,"Reno, NV",USA,Ted Pitts,ted_pitts,https://www.moraware.com/company/careers/,1.0
Mosalingua,mosalingua,11-50,Method for learning languages on a smartphone,https://www.mosalingua.com/en/,Lyon,France,Luca Sadurny,lucasadurny,,2.0
MotorLot,motorlot,1-10,Get your auto dealer management software guaranteed to drive sales,https://motorlot.com/,"Scottsdale, AZ",USA,Korey Bachelder,koreyb,https://angel list linkedin,1.0
Moveon.org,moveon,11-50,Nonpartisan education and advocacy on important national issues.,https://front.moveon.org/,"Washington, DC",USA,Anna Galland,,,2.0
